id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
11,The Mocha Shake,Breakfast Recipes,10.0,,0.0,,Easy,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,cup whole milk,tablespoons cocoa powder,pack stevia,"cup brewed coffee, chilled",tablespoon coconut oil,,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,"Serve chilled with some biscuits and muffins if you prefer, add Keto-Friendly whipped cream on top if desired",Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Mocha_Shake-The_Mocha_Shake.jpg,True,293.0,23.0,19.0,10.0
12,Early Morning Cheesy Egg Muffin,Breakfast Recipes,10.0,,20.0,,Medium,6.0,4.0,2.0,,3.0,0.25,0.5,,,,,large whole eggs,tablespoons Greek yogurt,Salt and pepper taste,tablespoons coconut flour,teaspoon baking powder,"cup cheddar cheese, shredded",,,,,Pre-heat your oven to 375-degree F,"Add yogurt, eggs to a medium sized bowl","Season with salt and pepper, whisk well","Add baking powder, coconut flour and mix until you have a smooth batter",Add cheese and fold,Pour mix evenly in 6 silicone muffin cups and bake in your oven until golden,Enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Early_Morning_Cheesy_Egg_Muffin-Early_Morning_Cheesy_Egg_Muffin.jpg,True,101.0,7.0,3.0,7.0
13,An Omelet Of Swiss Chard,Breakfast Recipes,5.0,,5.0,,Medium,4.0,4.0,4.0,2.0,0.5,,,,,,,"eggs, lightly beaten","cups Swiss chard, sliced",tablespoons butter,teaspoon garlic salt,Fresh pepper,,,,,,Take a non-stick frying pan and place it over medium-low heat,"Once the butter melts, add Swiss chard and stir cook for 2 minutes",Pour egg into pan and gently stir them into Swiss chard,Season with garlic salt and pepper,Cook for 2 minutes,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/An_Omelet_Of_Swiss_Chard-An_Omelet_Of_Swiss_Chard.jpg,True,260.0,21.0,4.0,14.0
14,Chocolate Fat Bombs,Breakfast Recipes,10.0,+ chill time,5.0,,Medium,12.0,0.75,1.0,0.33,0.25,0.5,,,,,,cup coconut oil,cup almond butter,cup cocoa powder,"cup almond, ground",teaspoon salt,Stevia if needed,,,,,"Add listed ingredients to pot and place over low heat, stir until everything melts","Once the mixture is combined and forms a thick batter, let it cool",Roll mixture into balls and place on a paper lined baking tray,Place tray into fridge and let them cool for 1 hour,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Chocolate_Fat_Bombs-Chocolate_Fat_Bombs.jpg,True,555.0,55.0,11.0,11.0
15,Coconut And Hazelnut Chilled Glass,Breakfast Recipes,10.0,,0.0,,Easy,1.0,0.5,0.25,1.5,1.0,,,,,,,cup coconut milk,"cup hazelnuts, chopped",cups water,pack stevia,,,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Coconut_And_Hazelnut_Chilled_Glass-Coconut_And_Hazelnut_Chilled_Glass.jpg,True,457.0,46.0,12.0,7.0
16,Delicious Nut Dredged Porridge,Breakfast Recipes,10.0,,15.0,,Easy,4.0,1.0,1.0,2.0,4.0,2.0,,,,,,"cup cashew nuts, raw and unsalted","cup pecan, halved",tablespoons stevia,"teaspoons coconut oil, melted",cups water,,,,,,Chop the nuts in food processor and form a smooth paste,"Add water, oil, stevia to nuts paste and transfer the mix to a saucepan",Stir cook for 5 minutes on high heat,Lower heat to low and simmer for 10 minutes,Serve warm and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Delicious_Nut_Dredged_Porridge-Delicious_Nut_Dredged_Porridge.jpg,True,260.0,22.0,12.0,6.0
17,Crispy Tofu,Breakfast Recipes,5.0,,30.0,,Medium,8.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.25,,,"pound extra firm tofu, drained and sliced",tablespoons olive oil,cup almond meal,tablespoons yeast,teaspoon onion powder,teaspoon garlic powder,teaspoon oregano,teaspoon salt,,,Add all ingredients except tofu and olive oil in a shallow bowl,Mix well,Pre-heat your oven to 400 degree F,"In the wide bowl, add almond meal and mix well",Brush tofu with olive oil dip into the mix and coat well,Line a baking sheet with parchment paper,Transfer coated tofu to the baking sheet,"Bake for 20-30 minutes, making sure to flip once until golden brown",Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Crispy_Tofu-Crispy_Tofu.jpg,True,282.0,20.0,9.0,12.0
18,Cottage Cheese Hotcake,Breakfast Recipes,10.0,,10.0,,Medium,2.0,1.0,0.5,2.0,0.25,0.5,1.0,,2.0,,,cup full –fat cottage cheese,cup full fat ricotta cheese,whole eggs,cup coconut cream,teaspoon baking powder,teaspoon vanilla extract,Butter for frying,teaspoon almond butter,,,"Add cottage cheese, ricotta cheese, eggs, coconut cream to a bowl, whisk well","Add ground almond, coconut flour, baking powder, vanilla extra and whisk until smooth",Take a non-stick frying pan and place it over medium heat,Add a knob of butter,"Once butter melts, add dollops of batter onto hot pan","Once bubbles appear, flip the pancakes over",Serve with almond butter and some berries on top,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cottage_Cheese_Hotcake-Cottage_Cheese_Hotcake.jpg,True,690.0,48.0,16.0,40.0
19,Choco Strawberry Keto Shake,Breakfast Recipes,10.0,,,,Easy,1.0,0.5,1.0,1.0,0.5,1.0,1.5,,,,,"cup heavy cream, liquid",tablespoons cocoa powder,pack stevia,"cup strawberry, sliced","tablespoons coconut flakes, unsweetened",cups water,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled with some Keto-Friendly whipped cream and berries on top,Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Choco_Strawberry_Keto_Shake-Choco_Strawberry_Keto_Shake.jpg,True,470.0,46.0,15.0,4.0
20,Mushroom Muffin,Breakfast Recipes,10.0,,15.0,,Medium,12.0,3.0,1.0,1.0,5.0,,5.0,,,,,"cups mushrooms, sliced","medium-large zucchini, sliced",cup baby spinach leaves,"eggs, lightly beaten",Salt and pepper to taste,"ounces cream cheese, broken into little pieces",,,,,Pre-heat your oven to 375 degree F,Grease 12 hole-muffin tin,"Place mushrooms, zucchini, spinach, eggs, salt and pepper to a bowl",Mix well,Pour mix into muffin pan and transfer to oven,Bake for 12-15 minutes,Make cream cheese frosting by stirring cream cheese to loosen it and bring to a spreadable consistency,Let the muffin cool and spread cream cheese,Enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Mushroom_Muffin-Mushroom_Muffin.jpg,True,75.0,5.0,2.0,4.0
21,Cinnamon And Coconut Porridge,Breakfast Recipes,5.0,,5.0,,Medium,4.0,2.0,1.0,0.5,2.0,1.0,1.5,1.0,,,,cups water,cup 36% heavy cream,"cup unsweetened dried coconut, shredded",tablespoons flaxseed meal,tablespoon butter,teaspoon stevia,teaspoon cinnamon,Salt to taste,Toppings as blueberries,,"Add the listed ingredients to a small pot, mix well",Transfer pot to stove and place it over medium-low heat,Bring to mix to a slow boil,Stir well and remove the heat,Divide the mix into equal servings and let them sit for 10 minutes,Top with your desired toppings and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cinnamon_And_Coconut_Porridge-Cinnamon_And_Coconut_Porridge.jpg,True,171.0,16.0,6.0,2.0
22,Skillet Based Kale And Avocado,Breakfast Recipes,5.0,,10.0,,Medium,2.0,2.0,2.0,5.0,1.0,4.0,,,,,,"tablespoons olive oil, divided","cups mushrooms, sliced","ounces fresh kale, stemmed and sliced into ribbons","avocado, sliced",large eggs,Salt and pepper as needed,,,,,Take a large skillet and place it over medium heat,Add a tablespoon olive oil,Add mushrooms to pan and Saute for 3 minutes,Take a medium bowl and massage kale with remaining 1 tablespoon olive oil (for about 1-2 minutes),Add kale to skillet and place them on top of mushrooms,Place slices of avocado on top of kale,Create 4 wells for eggs and crack each egg onto each hold,Season eggs with salt and pepper,Cover skillet and cook for 5 minutes,Serve hot!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Skillet_Based_Kale_And_Avocado-Skillet_Based_Kale_And_Avocado.jpg,True,461.0,34.0,6.0,18.0
23,Fat Burner Espresso,Breakfast Recipes,10.0,,0.0,,Easy,2.0,1.0,1.0,0.25,,,5.0,,,,,scoop Isopure Zero Carb protein powder,espresso shot,"cup Greek yogurt, full fat","Liquid stevia, to sweeten",Pinch of cinnamon,ice cubes,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fat_Burner_Espresso-Fat_Burner_Espresso.jpg,True,270.0,16.0,2.0,30.0
24,Blue Cheese Omelet,Breakfast Recipes,10.0,,15.0,,Easy,1.0,4.0,,1.0,0.5,1.0,,,,,,eggs,"Salt, to taste",tbsp sesame oil,"cup blue cheese, crumbled","tomato, thinly sliced",,,,,,"In a mixing bowl, beat the eggs and season with salt.",Set a saute pan over medium heat and warm the oil. Add in the eggs and cook as you swirl the eggs around the pan using a spatula,Cook eggs until partially set.,Top with cheese; fold the omelet in half to enclose filling.,Decorate with tomato and serve while warm.,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Blue_Cheese_Omelet-Blue_Cheese_Omelet.jpg,True,307.0,25.0,2.5,18.0
25,Hearty Chia Bowls,Breakfast Recipes,10.0,,0.0,,Medium,2.0,0.25,1.5,2.0,1.0,1.0,,,,,,"cup walnuts, chopped",cups almond milk,tablespoons chia seeds,tablespoon stevia,teaspoon vanilla extract,,,,,,"In a bowl, combine the almond milk with the chia seeds and the rest of the ingredients, toss, leave the mix aside for 10 minutes and serve for breakfast",,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hearty_Chia_Bowls-Hearty_Chia_Bowls.jpg,True,300.0,8.0,5.0,4.0
26,Classical Eggs And Canadian Bacon,Breakfast Recipes,10.0,,15.0,,Easy,2.0,2.0,4.0,0.25,,8.0,,,,,,1-ounce slices of Canadian bacon,eggs,teaspoon ground black pepper,"Salt, to season","cherry tomatoes, halves",,,,,,"Heat up a nonstick aluminum pan over a medium-high flame. Once hot, fry the bacon until crispy; reserve, living the rendered fat in the pan.",Turn the heat to medium-low.,Crack the eggs into the bacon grease. Cover the pan with a lid and fry the eggs until they are cooked through,Salt and pepper to taste. Serve with the reserved bacon and cherry tomatoes on the side. Enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Classical_Eggs_And_Canadian_Bacon-Classical_Eggs_And_Canadian_Bacon.jpg,True,326.0,5.0,46.0,0.7
27,Pecan And Goat Cheese,Breakfast Recipes,10.0,,10.0,,Medium,4.0,1.0,0.33,3.0,2.0,1.0,,,,,,lb log goat cheese,"cup pecans, chopped",tablespoons bacon syrup,"teaspoons fresh basil, chopped","teaspoon fresh chives, chopped",,,,,,"In a small saucepan, add the chopped basil, bacon, and chives. Cook for 1-2 minutes and set aside.",Finely chop the pecans and transfer them to a large plate. Then roll the goat cheese in the chopped pecans.,Drizzle with the bacon mixture and serve. Enjoy,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Pecan_And_Goat_Cheese-Pecan_And_Goat_Cheese.jpg,True,296.0,8.0,0.6,14.0
28,Broccoli Egg Salad,Breakfast Recipes,4.0,,0.0,,Medium,4.0,1.0,4.0,2.0,1.0,1.0,,,,,,"pound broccoli florets, steamed","eggs, hard-boiled, peeled, and cut into wedges","spring onions, chopped'/2 teaspoon chili powder",tablespoon olive oil,tablespoon lime juice,Salt and black pepper to the taste,,,,,"In a bowl, combine the broccoli with the eggs and the other ingredients, toss and serve for breakfast.",,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Broccoli_Egg_Salad-Broccoli_Egg_Salad.jpg,True,250.0,11.0,5.6,6.0
29,Creamy Cheese Pancakes,Breakfast Recipes,10.0,,12.0,,,4.0,2.0,2.0,,,,,,,,,organic eggs,"ounces cream cheese, softened 1/2 teaspoon ground cinnamon 1 packet stevia",Olive oil nonstick cooking spray,,,,,,,,Place all the ingredients in a blender and pulse until smooth.,Transfer the mixture into a bowl and set aside for about 2-3 minutes.,Grease a large nonstick skillet with cooking spray and heat over medium heat.,Add 1/4 of the mixture and tilt the pan to spread it in an even layer.,Cook for about 2 minutes or until golden brown.,Flip the side and cook for about 1 more minute.,Repeat with the remaining mixture.,Serve warm,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Creamy_Cheese_Pancakes-Creamy_Cheese_Pancakes.jpg,True,82.0,7.3,0.8,3.8
30,Excellent Zucchini Sage Cakes,Breakfast Recipes,10.0,,12.0,,Medium,4.0,1.0,,1.0,1.0,1.0,,,,,,"pound zucchinis, grated, and excess water drained",Salt and black pepper to the taste,tablespoon almond flour,"egg, whisked","tablespoon sage, chopped2 tablespoons olive oil",,,,,,"In a bowl, combine the zucchinis with the flour and the other ingredients except for the oil, stir well and shape medium cakes out of this mix.","Heat up a pan with the oil over medium heat, add the cakes, cook them for 5-6 minutes on each side, drain excess grease on paper towels",Divide the cakes between plates and serve for breakfast,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Excellent_Zucchini_Sage_Cakes-Excellent_Zucchini_Sage_Cakes.jpg,True,320.0,13.0,10.0,12.0
31,Delicious Egg Muffins,Breakfast Recipes,10.0,,20.0,,Easy,4.0,6.0,2.0,0.25,4.0,4.0,,,,,,tablespoons almond flour,tablespoons flaxseed meal,teaspoon baking soda,eggs,"ounces cheddar cheese, shredded",,,,,,"In a mixing bowl, thoroughly combine all of the above ingredients until well incorporated.",Line a muffin tin with non-stick baking cups. Scrape the batter into the prepared baking cups.,Bake in the preheated oven at 350 degrees F for 15 to 17 minutes.,Transfer to a wire rack to cool slightly before unmolding and serving. Bon appetit!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Delicious_Egg_Muffins-Delicious_Egg_Muffins.jpg,True,292.0,5.0,16.0,3.0
32,Double Stuffed Cheese Peppers,Breakfast Recipes,10.0,,25.0,,Medium,4.0,4.0,1.0,4.0,2.0,2.0,,,,,,"summer bell peppers, divined and halved","clove garlic, minced",ounces cream cheese,"ounces mozzarella cheese, crumbled",tablespoons Greek-style yogurt,,,,,,Cook the peppers in boiling water in a Dutch oven until just tender or approximately 7 minutes.,"Mix the garlic, cream cheese, mozzarella, and yogurt until well combined. Then, stuff the peppers with the cheese mixture.",Arrange the stuffed peppers on a til-lined baking pan.,Bake in the preheated oven at 360 degrees F for 10 to 12 minutes. Serve at room temperature.,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Double_Stuffed_Cheese_Peppers-Double_Stuffed_Cheese_Peppers.jpg,True,140.0,7.0,8.0,0.9
33,Creamy Cheese Muffins,Breakfast Recipes,10.0,,30.0,,Medium,4.0,2.0,0.5,2.0,0.5,1.0,,,,,,8-ounces packages of cream cheese,cup Erythritol,organic eggs,teaspoon organic vanilla extract,teaspoon ground cinnamon,,,,,,Preheat the oven to 350 degrees F. Grease 10 cups of a muffin tin.,"In a bowl, add the cream cheese, Erythritol, eggs, and vanilla extract and beat until smooth.",Transfer mixture evenly into the prepared muffin cups and then sprinkle each with cinnamon.,Bake for about 20 minutes or until a wooden skewer inserted in the center comes out clean.,Remove the muffin tin from the oven and place it onto a wire rack to cool for about 10 minutes.,Carefully invert the muffins onto a wire rack to cool completely.,Serve,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Creamy_Cheese_Muffins-Creamy_Cheese_Muffins.jpg,True,344.0,33.0,2.8,9.1
34,Cheese And Bacon Balls,Breakfast Recipes,10.0,+ chill time,5.0,,Medium,4.0,3.0,6.0,1.0,0.25,0.5,,,,,,ounces bacon,ounces brie cheese,"chili pepper, seeded and chopped",tsp parsley flakes,tsp paprika,,,,,,Set a pan over medium heat and fry the bacon until crispy; then crush it.,Place the other ingredients in a bowl and mix to combine with the bacon grease.,Refrigerate the mixture for 20 minutes.,Remove and form balls from the mixture. Set the bacon on a plate and roll the balls around to coat,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cheese_And_Bacon_Balls-Cheese_And_Bacon_Balls.jpg,True,206.0,16.0,0.6,13.0
35,Baked Stuffed Up Avocados,Breakfast Recipes,10.0,,20.0,,Medium,4.0,3.0,0.5,0.5,2.0,1.0,,,,,,"avocados, halved and pitted, skin on","cup mozzarella, shredded","cup Swiss cheese, grated","eggs, beaten","tbsp fresh basil, chopped",,,,,,"Set oven to 360 F. Lay avocado halves in an ovenproof dish. In a bowl, mix both types of cheeses, pepper, eggs, and salt. Split the mixture",into the avocado halves. Bake for 15 to 17 minutes. Decorate with basil before Serves,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Baked_Stuffed_Up_Avocados-Baked_Stuffed_Up_Avocados.jpg,True,342.0,30.0,8.0,1.0
36,Colorful Vegetable Omelet,Breakfast Recipes,10.0,,10.0,,Medium,4.0,2.0,1.0,2.0,1.0,6.0,,,,,,tablespoons olive oil,"cup Chanterelle mushrooms, chopped","bell peppers, chopped","white onion, chopped",eggs,,,,,,"Heat the olive oil in a nonstick skillet over moderate heat. Now, cook the mushrooms, peppers, and onion until they have softened.","In a mixing bowl, whisk the eggs until frothy. Add the eggs to the skillet, reduce the heat to medium-low, and cook for approximately 5 minutes until the center starts to look dry. Do not overcook.",Taste and season with salt to taste,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Colorful_Vegetable_Omelet-Colorful_Vegetable_Omelet.jpg,True,239.0,6.0,11.0,2.0
37,Simple Fried Eggs,Breakfast Recipes,10.0,,10.0,,Medium,4.0,2.0,2.0,0.25,0.12,,,,,,,eggs,tbsp unsalted butter,tsp salt,tsp ground black pepper,,,,,,,"Take a skillet pan, place it over medium heat, add butter and when it has melted, crack eggs in the pan.","Cook eggs for 3 to 5 minutes until fried to the desired level, then transfer the eggs to serving plates and sprinkle with salt and black pepper.",Serve.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Simple_Fried_Eggs-Simple_Fried_Eggs.jpg,True,179.0,16.0,0.5,8.0
38,Beef And Egg Early Morning Muffin,Breakfast Recipes,10.0,,15.0,,Easy,12.0,2.0,1.0,12.0,1.0,2.5,,,,,,lbs of ground beef (20% fat/80% lean meat ratio),tbsp of mixed herbs,eggs,cup of shredded cheddar cheese,cups of spinach,,,,,,"In a deep pan, saute the spinach with some olive oil for a few minutes until wilted. Remove from the heat and set aside.","In a 12-piece muffin, a tin dish begins lining each tin with around 1-2 tbsp of the ground beef to make a base cup. You should cover all sides of the tin and leave room for the spinach and eggs.","Top each meat cup with spinach, cheese, and one egg on top.",Cook in the oven for 15-18 minutes at 400F/200C,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Beef_And_Egg_Early_Morning_Muffin-Beef_And_Egg_Early_Morning_Muffin.jpg,True,222.0,18.0,1.2,15.2
39,Spicy Chili Deviled Eggs,Breakfast Recipes,10.0,,50.0,,Easy,4.0,0.25,2.0,2.0,0.5,0.12,,,,,,"of lime, juiced","eggs, boiled",tsp chili garlic sauce,tsp paprika,tsp ground black pepper,,,,,,"Peel the boiled eggs, then slice in half lengthwise and transfer egg yolks to a medium bowl by using a spoon.","Mash the egg yolk, add remaining ingredients and stir until well combined.",Spoon the egg yolk mixture into egg whites and then serve.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Spicy_Chili_Deviled_Eggs-Spicy_Chili_Deviled_Eggs.jpg,True,82.0,5.0,0.4,7.0
